east north
495.062781 463.654
491.5965 461.1125
498.709813 459.3925
504.852094 454.5375
500.144813 452.687
500.993125 443.8865
505.134438 444.3065
503.235969 451.4485
506.228938 457.7515
508.160219 463.096
509.2235 470.414
503.473406 475.6315
509.178344 476.1755
516.034031 473.357
520.147219 467.075
521.236875 459.4815
527.753063 459.3755
531.995563 464.782
538.783625 464.875
545.707125 465.694
553.139188 462.5555
560.024625 464.8
566.74675 463.1885
574.19725 462.725
582.02375 461.2715
589.887375 462.521
597.229313 465.8655
603.811188 464.5585
605.871 460.5085
612.286938 456.086
613.857063 449.595
621.287813 446.604
628.639063 444.8285
631.817438 437.737
637.492438 432.025
634.20475 425.496
629.226563 422.555
630.906875 420.4055
638.968875 419.884
632.025 416.7505
625.798625 413.4625
631.953125 414.2685
632.155188 411.1705
639.860125 411.021
641.00775 403.435
637.589125 401.2055
637.24325 400.3325
636.01825 397.1535
638.107625 394.517
641.851813 389.9
642.569438 382.0995
647.145438 375.437
646.820625 367.535
642.397875 361.227
646.79425 355.1195
651.9535 349.3295
655.33225 342.219
660.207125 335.8645
666.556125 330.8
668.464313 324.334
671.055375 317.356
674.749375 310.5265
682.068125 307.0365
678.8675 300.0215
676.1265 292.5305
672.481563 285.4165
670.703063 277.625
672.062563 269.8635
679.603063 267.0335
686.332625 269.963
694.170375 269.5365
700.403375 273.576
707.086875 269.09
715.055063 269.743
722.802563 269.0615
730.246063 267.9115
738.165688 267.6705
745.08375 267.2245
751.146 261.5795
748.617188 255.2725
746.678813 247.9015
746.024563 240.0395
742.908813 232.673
745.792625 226.0275
750.472063 222.804
754.7605 230.096
756.962 237.04
764.113563 239.545
766.416875 247.0055
773.6025 246.4635
779.524438 241.737
780.54775 235.974
781.245688 228.906
782.124438 221.1565
785.844 214.5615
786.494 208.1565
793.205188 204.8215
798.625563 205.266
793.336563 199.1955
788.13475 193.133
783.140375 186.8895
779.378563 180.5855
777.683813 187.108
780.69875 194.386
787.14325 199.101
779.648813 198.6915
772.613438 194.921
769.153125 197.2955
769.227688 205.304
765.929875 200.563
763.41925 199.8925
758.943313 205.232
758.803438 196.9885
755.02475 193.748
758.635313 188.6695
755.889125 181.1865
749.726063 182.4225
741.674063 182.355
735.94675 185.664
729.9425 190.334
729.948 185.579
732.53975 179.157
724.347438 179.706
732.07725 177.326
739.425688 175.5195
747.238313 176.2825
749.815563 172.8805
757.045125 171.5365
765.36825 170.572
761.700813 165.084
756.485438 159.1015
752.37975 152.2355
748.731938 145.1195
744.853563 138.108
738.498438 141.5515
733.378375 139.683
731.44225 135.9955
739.654313 136.1905
743.952688 133.044
740.586188 125.3875
734.3525 126.208
726.756313 124.2705
718.759688 124.561
710.763438 124.8235
702.864375 124.122
695.90125 121.1025
688.046 122.3335
680.367938 121.7645
670.204875 111.761
